Name,County,Latitude,Longitude
Ahenny,Tipperary,52.4141611,-7.392554199999999
Ardboe,Tyrone,54.62068000000001,-6.51139
Bealin,Westmeath,53.4337623,-7.8419921
Boho,Fermanagh,54.333094,-7.79143
Carndonagh,Donegal,55.2506229,-7.266890500000001
Cashel,Tipperary,52.51590969999999,-7.8915829
Castledermot,Kildare,52.9118755,-6.837567
Castlekeeran,Meath,53.7387925,-6.9580728
Clogher,Tyrone,54.4143001,-7.1645201
Clonca,Donegal,55.2721157,-7.1826543
Clones,Monaghan,54.1796829,-7.230667100000001
Clonmacnois,Offaly,53.3264261,-7.9843391
Devenish Island,Fermanagh,54.3709251,-7.657869100000001
Donaghmore,Tyrone,54.5311101,-6.81305
Downpatrick,Down,54.32875139999999,-5.715692199999999
Dromiskin,Louth,53.9217123,-6.401009200000001
Drumcliffe,Sligo,54.33047,-8.50147
Duleek,Meath,53.6547501,-6.4221752
Durrow,Offaly,53.3282,-7.52879
Dysert O'Dea,Clare,52.91131,-9.0617
Fahan Mura,Donegal,55.0832256,-7.460680399999999
Fennor,Meath,53.6217547,-6.3978477
Finglas,Dublin,53.390325,-6.298400699999999
Galloon,Fermanagh,54.1574094,-7.4044181
Glendalough,Wicklow,53.0112797,-6.3261752
Graiguenamanagh,Kilkenny,52.54406160000001,-6.959308999999999
Kells,Meath,53.72718030000001,-6.876972299999999
Kilbroney,Down,54.096363,-6.1935525
Kilfenora,Clare,52.9899429,-9.218327
Kilgobbin,Dublin,53.2573762,-6.2113953
Kilkieran,Kilkenny,52.7012696,-7.200626400000001
Killaloe,Clare,52.808886,-8.4475152
Killamery,Kilkenny,52.4712815,-7.4468038
Killary,Meath,53.7776467,-6.6585033
Kilmokea,Wexford,52.2959971,-6.9929773
Kilree,Kilkenny,52.5987127,-7.2086783
Kinnitty,Offaly,53.097806,-7.7189969
Lisnaskea,Fermanagh,54.2528935,-7.442869600000001
Lorrha,Tipperary,53.0931067,-8.1228038
Monaincha,Tipperary,52.9424682,-7.732074799999999
Monasterboice,Louth,53.7875134,-6.4163004
Moone,Kildare,52.9755328,-6.815702
Old Kilcullen,Kildare,53.10917999999999,-6.766070000000001
Roscrea,Tipperary,52.9551789,-7.798469600000001
St Mullins,Carlow,52.4911459,-6.9297738
Termonfeckin,Louth,53.76101389999999,-6.271843199999999
Ullard,Kilkenny,52.79525,-7.07193