OID_,ENTITY_ID,CLASS_CODE,SMRS,COUNTY,TOWNLAND,COUNTY_ID,ZONE_ID,ITM_E,ITM_N,LATITUDE,LONGITUDE,MONUMENT_T,FIRST_EDIT,LATEST_EDI,WEBSITE_LI,WEB_NOTES
1,CL01376,HOWE,CL009-076----,CLARE,CARRAN,4,R126128,524221.000000000000000,697263.000000000000000,53.020686869000002,-9.129481340000000,Ritual site - holy well,'Tobermacreagh','Tobermacreagh' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL009-076----,"In hawthorn overgrowth in low-lying pasture at the W end of the Poulacarran Valley, with steep slopes rising c. 50m to the S and c. 80m to the W. Indicated and labelled 'Tobermacreagh' on the 1842 and 1920 eds. of the OS 6-inch map. This name may be an a"
2,CL01549,HOWE,CL010-021005-,CLARE,TERMON,4,R126410,528864.000000000000000,699935.000000000000000,53.045334062999999,-9.060880227000000,Ritual site - holy well,Tobercronan,'Tobercronan' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-021005-,Situated at the base of a rock face c. 90m S of Templecronan church (CL010-021002-). Named ‘Tobercronan’ on the OS 6-inch maps. The rock face is at NE and the area around the well is concreted over. A small oval opening allows access to the water. Of
3,CL01551,HOWE,CL010-021007-,CLARE,TERMON,4,R126410,528888.000000000000000,699947.000000000000000,53.045445084000001,-9.060525019000000,Ritual site - holy well,Not indicated,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-021007-,"Listed as ‘Holy well’ in the RMP (1996) with the IG 12892, 19991 (ITM 528888, 699947). On inspection in 1999 this was described as being near the E end of a lowlying damp field with a huge natural boulder nearby to the E. It was apparently a simple"
4,CL01556,HOWE,CL010-026001-,CLARE,TERMON,4,R126465,530009.000000000000000,700508.000000000000000,53.050634004000003,-9.043931912000000,Ritual site - holy well,Not indicated,'Tobernafiaghanta' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-026001-,"In a sheltered area of rocky scrub with higher ground to N and W and with a penitential station (CL010-026002-) standing at its NW edge. Named ‘Tobernafiaghanta’ on the Cassini edition (1916) of the OS 6-inch map. According to logainm.ie, ‘Tobernaf"
5,CL01573,HOWE,CL010-037001-,CLARE,GLENCOLUMBKILLE SOUTH,4,R126370,531745.000000000000000,699655.000000000000000,53.043193330000001,-9.017862987999999,Ritual site - holy well,'Holy Well','Holy Well', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-037001-,"In pasture at the base of a partly wooded rocky incline which rises to W and NW. Indicated and labelled ‘Holy Well’ on both the first edition (1842) and later, Cassini edition (1920) of the OS 6-inch map. This holy well comprises a small, subcircular"
6,CL00560,HOWE,CL005-137----,CLARE,GLENINSHEEN,4,R188511,522963.000000000000000,702981.000000000000000,53.071886864000000,-9.149594047000001,Ritual site - holy well, ,'Holy Well' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL005-137----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
7,CL04280,HOWE,CL036-014----,CLARE,DRUMMOD,4,R125093,558642.000000000000000,680415.000000000000000,52.873039054000003,-8.614335390999999,Ritual site - holy well, ,'Tobermochulla' (1920), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL036-014----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
8,CL01738,HOWE,CL010-105----,CLARE,POULNALOUR,4,R126007,530430.000000000000000,695821.000000000000000,53.008571859000000,-9.036643267000001,Ritual site - holy well, ,'St. Patrick's Well' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL010-105----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
9,CL00036,HOWE,CL002-007002-,CLARE,GLENINAGH NORTH,4,R126980,519302.000000000000000,710347.000000000000000,53.137532385000000,-9.206063092000001,Ritual site - holy well,Tobernacrobaneeve,'Tobernacrobaneeve' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL002-007002-,"Just SW of a tower house (CL002-007001-) on level ground in good pasture on the S shore of Galway Bay, c. 90m S of a raised shingle beach. Recorded as ‘Tobernacrobaneeve’ on the 1842 OS 6-inch map, as ‘Tobernacrobaneede’ on the 1915 ed. and ‘To"
10,CL00051,HOWE,CL002-010001-,CLARE,GLENINAGH NORTH,4,R126967,520071.000000000000000,709821.000000000000000,53.132921953000000,-9.194441728999999,Ritual site - holy well,Tobercornan,'Tobercornan' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL002-010001-,"On the roadside with higher rocky ground, the source of the spring, rising immediately to S. Indicated and named ‘Tobercornan’ on the 1842 and 1915 OS 6-inch maps and named ‘Pinnacle Well’ and ‘Tobar Chornáin’ on Robinson’s map of the Burr"
11,CL00163,HOWE,CL003-021001-,CLARE,ROSSALIA,4,R187109,530786.000000000000000,710613.000000000000000,53.141537057999997,-9.034520802999999,Ritual site - holy well,Toberpatrick,'Toberpatrick' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL003-021001-,On a narrow terrace on the NE face of Abbey Hill with panoramic views to the N. A natural spring emerges from low bedrock terracing and is enclosed by a mortared stone wall (Wth 0.6m; H 1m over the interior) enclosing an area (L 1.6m; Wth 1.5m) with a bl
12,CL00186,HOWE,CL003-029004-,CLARE,ABBEY WEST,4,R126949,529512.000000000000000,708956.000000000000000,53.126480780999998,-9.053195213000000,Ritual site - holy well,Tobersheela,'Toberheela' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL003-029004-,Situated c. 70m SE of the abbey buildings at Corcomroe (CL003-029002-) just inside the line of the enclosing wall (CL003-029001-) and named ‘Tobersheela’on the 1915 OS 6-inch map. Two small rectangular rock-cut pools (D of water 0.3m; N pool: 1.4m E-
13,CL00205,HOWE,CL003-035001-,CLARE,OUGHTMAMA,4,R126924,531110.000000000000000,708203.000000000000000,53.119923243000002,-9.029161338000000,Ritual site - holy well,Tobercolman,'Tobercolman' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL003-035001-,At the head of the valley with excellent views to the W and over Oughtmama ecclesiastical complex (CL003-032----). Indicated and named ‘Tobercolman’ on the 1842 and 1915 eds of the OS 6-inch maps and named ‘Tobar Cholmáin’ on Robinson’s map (1
14,KE00101,HOWE,KE002-033----,KERRY,ASTEE WEST,12,R117004,494308.000000000000000,646551.000000000000000,52.560001020000001,-9.558801728000001,Ritual site - holy well,'Toberruane','Toberruane', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE002-033----,This well is marked on the 1841-42 and 1914 OS maps as 'Toberruane' (Tobar Eoin). The well is also known locally as St Owen's or St Senan's well.Situation and Description: This well is a small stone-lined pool with some whitethorn bushes overhanging it T
15,CL00256,HOWE,CL004-016020-,CLARE,BALLYELLY,4,R126675,515034.000000000000000,705327.000000000000000,53.091764304000002,-9.268504907000001,Ritual site - holy well,Not indicated,'Toberanahircallough' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL004-016020-,In a hollow on high ground within an extensive multiperiod field system (CL004-016001-). Overlooked by higher ground to the S. Named ‘Toberanahircallough’ on the 1915 OS 6-inch map. A holy well with an opening (c. 2m x 0.8m) to the SW. An underground
16,CL00264,HOWE,CL004-019----,CLARE,FANORE MORE,4,R126675,514809.000000000000000,706551.000000000000000,53.102726208999997,-9.272187579000001,Ritual site - holy well,'Tobergeeraun','Tobergeeraun' (1915), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL004-019----,"On a wet, steep W-facing hillslope, and within a large field system (CL004-016001-). Named ‘Tobergeeraun’ on the 1840 and 1915 OS 6-inch maps. A penitential station (CL004-019002-) stands c. 4.5m to the WSW.The holy well is enclosed in a beehive-shap"
17,CL00319,HOWE,CL004-057003-,CLARE,OUGHTDARRA,4,R126564,0.000000000000000,0.000000000000000,46.488181431999998,-15.817314300000000,Ritual site - holy well,Not indicated,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL004-057003-,"A well at Oughtdarra is referred to by Westropp (1905, 343) who notes that ‘the dedication of the well is forgotten, the name being Toberaneenagh, translated ""wine well.""’ On field inspection in 1998 the well was not visible and its location is unkno"
18,CL01234,HOWE,CL009-053008-,CLARE,EANTY MORE,4,R189904,525300.000000000000000,700526.000000000000000,53.050158822000000,-9.114157848000000,Ritual site - holy well,'Toberderg','Toberderg' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL009-053008-,"At the head of a NE–SW ravine, on the E side of a roughly N-S running boreen, within a large multiperiod field system (CL005-160001-). The land falls very steeply c. 40m to the SW. Indicated and labelled ‘Toberderg’ on the 1842 and 1920 eds. of the"
19,CL02964,HOWE,CL025-097----,CLARE,MOLLANEEN,4,R125219,528416.000000000000000,684651.000000000000000,52.907933329000002,-9.064180386000000,Ritual site - holy well,St Tola's Well,'St Tola's Well' (1920), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL025-097----,"In the SE corner of a field E of Dysert O’Dea church (CL025-091001-) and 240m SE of the high cross of St Tola (CL025-091094----). St Tola’s well or Tobar Bhanala. Stations were held here on the feast of St Tola, 30 March, for on that day in 734 ‘To"
20,CL02968,HOWE,CL025-101----,CLARE,SOHEEN,4,R120312,528795.000000000000000,683298.000000000000000,52.895825510999998,-9.058250865000000,Ritual site - holy well, ,'Toberataggart' (1920), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL025-101----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
21,CL02973,HOWE,CL025-102004-,CLARE,KILLEENAN,4,R120347,528884.000000000000000,683942.000000000000000,52.901624318000003,-9.057069216000000,Ritual site - holy well, ,'Toberarraghta' (1920), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL025-102004-,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
22,CL05659,HOWE,CL052-028----,CLARE,MOYGALLA,4,R123766,548859.000000000000000,667075.000000000000000,52.752312615999998,-8.757553244000000,Ritual site - holy well, ,'Toberneevoge' (1923), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL052-028----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
23,CL05676,HOWE,CL052-045----,CLARE,CORLACK,4,R123624,545033.000000000000000,663400.000000000000000,52.718910135999998,-8.813606705000000,Ritual site - holy well, ,'Tobereesa' (1923), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL052-045----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
24,CL00892,HOWE,CL007-002----,CLARE,BOULEEVIN,4,R185294,536005.000000000000000,702420.000000000000000,53.068566472000001,-8.954894247000000,Ritual site - holy well,Toberacollure,'Toberacollure (Site of)' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL007-002----,On level improved pasture. Indicated along a former field boundary c. 35m to the SE and named ‘Toberacollure’ on the 1842 and 1915 eds of the OS 6-inch maps. A well site now covered by a low cairn of small stones cleared from surrounding field (L 5m;
25,CL00899,HOWE,CL007-005002-,CLARE,KNOCKROE (Inchiquin By.),4,R126473,536085.000000000000000,700605.000000000000000,53.052266244999998,-8.953340571000000,Ritual site - holy well,Toberkeagh,'Toberkeagh' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL007-005002-,"In a low, wet hollow from where ground rises gently on all sides. Indicated and named ‘Toberkeagh’ on the 1842 and 1915 eds. of the OS 6-inch maps. A natural spring well enclosed by a small D-shaped enclosure (2.1m E–W) defined by a drystone wall ("
26,CL02033,HOWE,CL015-074----,CLARE,BALLYMACRAVAN,4,R125578,514126.000000000000000,690645.000000000000000,52.959698840999998,-9.278151190000001,Ritual site - holy well, ,'Tobercraban' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL015-074----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
27,CL02041,HOWE,CL015-081----,CLARE,LISCANNOR,4,R125462,507089.000000000000000,688880.000000000000000,52.942668290000000,-9.382352275000001,Ritual site - holy well, ,'Tobermacrehy' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL015-081----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
28,CL00694,HOWE,CL006-023005-,CLARE,KEELHILLA,4,R126752,532856.000000000000000,704286.000000000000000,53.084947988000003,-9.002263375000000,Ritual site - holy well,Tobermacduagh,'Tobermacduagh' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL006-023005-,"In hazel forest c. 14m to the NE of ‘St Mac Duagh’s church’ (CL006-023001-). Indicated and named ‘Tobermacduagh’ on the 1842 and 1915 eds. of the OS 6-inch maps. A holy well fed by a bifurcating stream, one branch of which is overlain by a D-sh"
29,CL00700,HOWE,CL006-025----,CLARE,KEELHILLA,4,R126738,533276.000000000000000,704127.000000000000000,53.083571843999998,-8.995962060000000,Ritual site - holy well,Grave of St Mac Duaghs Servant,'Grave of St Mac Duaghs Servant' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL006-025----,"On level rock pavement and rough grazing, c. 425m ESE of the ecclesiastical remains associated with St Colman Mac Duagh (CL006-023----). Listed as ‘Megalithic structure (possible)’ in the SMR (1992) and the RMP (1996). Named ‘Grave of St MacDuagh"
30,CL00703,HOWE,CL006-028001-,CLARE,KEELHILLA,4,R126735,533818.000000000000000,704076.000000000000000,53.083180978000001,-8.987862673000000,Ritual site - holy well,Tobershanvally,'Tobershanvally' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL006-028001-,On rough clint and gryke pavement covered with dense hazel thicket at the E foot of moderately steep slope. A small stream flows NE past the E side of the site and field clearance is dumped to the SE. Indicated and named ‘Tobershanbally’ on the 1842
31,CL00707,HOWE,CL006-030----,CLARE,KEELHILLA,4,R126781,534628.000000000000000,705003.000000000000000,53.091610744000000,-8.975962611000000,Ritual site - holy well,Toberkieran,'Toberkieran' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL006-030----,At the foot of a limestone bluff (H 5m) on a moderately steep rock-strewn W-facing slope. Indicated and named ‘Toberkieran’ on the 1842 and 1915 eds. of the OS 6-inch maps. A poorly preserved apparently disused holy well. A shallow pool (D 0.2m; L 1m
32,KE03726,HOWE,KE043-189----,KERRY,LIOS DEARGÁIN,12,R102451,450044.000000000000000,603460.000000000000000,52.162576459999997,-10.191938233000000,Ritual site - holy well,'Well','Well', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE043-189----,A spring well which now supplies water to a dwelling-house in the nearby village. It lies about 200m NE of a large early ecclesiastical enclosure and calluragh (KE043-190001-) and in 1960 rounds were still being made at the well and at the calluragh on G
33,CL00980,HOWE,CL008-046----,CLARE,GOWLAUN,4,R126240,514536.000000000000000,698496.000000000000000,53.030307407999999,-9.274125347000000,Ritual site - holy well,'St. Brendan's Well','St. Brendan's Well' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL008-046----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
34,CL00986,HOWE,CL008-049003-,CLARE,KILMOON WEST,4,R119842,514844.000000000000000,700034.000000000000000,53.044175713000001,-9.269940849999999,Ritual site - holy well,Tobermoon,'Tobermoon' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL008-049003-,"In flat pastureland. Named 'Tobermoon' on the 1842 ed. of the OS 6-inch map. Recorded by Robinson (1977) as 'Tobar Mhuadháin' on his map of the Burren. In 1839 the OS Letters (Comber 1997, 70) recorded that stations were still performed here. According"
35,CL01025,HOWE,CL008-072003-,CLARE,TOOMULLIN,4,R126114,508401.000000000000000,697063.000000000000000,53.016417418000003,-9.365153917000001,Ritual site - holy well,St. Brecan's Well,'St Brecan's Well' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL008-072003-,"On the N bank of the Aille River in a flat E-W valley in pasture, with steep hillsides to the N and S and also overlooked by higher ground to the E. Indicated and named ‘St Brecan’s Well’ on the 1842 and 1920 eds. of the OS 6-inch map. This holy we"
36,CL01115,HOWE,CL009-006001-,CLARE,CAHERMAKERRILA,4,R126245,517240.000000000000000,700215.000000000000000,53.046178060000003,-9.234264691000000,Ritual site - holy well,'Tobercolman','Tobercolman' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL009-006001-,"In pasture on the Burren plateau, at the S base of a low E–W ridge, within a multiperiod field system (CL009-001001-). Indicated and named ‘Tobercolman’ on the 1842 and 1920 eds. of the OS 6-inch map. The OS Letters note that this well was ‘calle"
37,CL01168,HOWE,CL009-029001-,CLARE,KILCORNEY,4,R126344,522563.000000000000000,699478.000000000000000,53.040352716000001,-9.154719854000000,Ritual site - holy well,Tobernanangel,'Tobernanangel' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL009-029001-,"At the base of a SE-facing slope on the floor of Kilcorney Valley, in a craggy area covered with trees on the edge of extensively reclaimed pasture. Named ‘Tobernanangel’ on the 1842 and 1920 eds. of the OS 6-inch map and recorded as 'Tobar na n-Aing"
38,CL01259,HOWE,CL009-059010-,CLARE,CAHERMINNAUN WEST,4,R190068,519726.000000000000000,694693.000000000000000,52.996939179000002,-9.195825026000000,Ritual site - holy well,'Tobercameen','Tobercameen' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL009-059010-,On a low SW-facing slope in undulating pasture within a large multiperiod field system (CL009-059001-). Named ‘Tobercameen’ on the 1842 and 1920 eds. of the OS 6-inch map. Labelled ‘Tobar Chaimín eye cure’ on Robinson’s map (1977). This well c
39,CL01275,HOWE,CL009-059026-,CLARE,NOUGHAVAL (Burren By.),4,R190491,520902.000000000000000,696795.000000000000000,53.016001645999999,-9.178824994999999,Ritual site - holy well,'Tobermogua','Tobermogua' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL009-059026-,"In an area of undulating rough pasture and outcropping rock within a large field system (CL009-059001-). Indicated and named ‘Tobermogua’ on the 1842 and 1920 eds. of the OS 6-inch map. In 1839 the OS Letters (Comber 1997, 61) recorded that while the"
40,CL04449,HOWE,CL039-036002-,CLARE,DOONOGAN,4,R119843,506773.000000000000000,673310.000000000000000,52.802716781000001,-9.382595958000000,Ritual site - holy well, ,'St Connell's Well', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL039-036002-,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
41,CL03436,HOWE,CL029-002----,CLARE,MOYNOE,4,R127401,566554.000000000000000,685097.000000000000000,52.915667225999997,-8.497296642000000,Ritual site - holy well, ,'Tobermachanna' (1920), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL029-002----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
42,KK02566,HOWE,KK025-026----,KILKENNY,POLLAGH (Gowran By.),14,R144930,669199.000000000000000,649885.000000000000000,52.595824757999999,-6.978602829000000,Ritual site - holy well,'Toberboy','Toberboy (Site of)', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KK025-026----,"In the SW angle of a field of rough pasture. Templeboy church (KK025-027001-) was located immediately S, in the N part of the adjacent field (as suggested on the 1st (1839) ed. OS 6-inch map or c. 160m to the ESE (as indicated on the 1900 revision and 25"
43,CL05303,HOWE,CL048-055----,CLARE,SHEEAUN (Clonderalaw By.),4,R119489,507251.000000000000000,663831.000000000000000,52.717628144999999,-9.372828040000000,Ritual site - holy well, ,'St Senan's Well' (1923), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL048-055----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
44,CL05314,HOWE,CL048-063003-,CLARE,KILMIHIL,4,R119499,510951.000000000000000,664080.000000000000000,52.720486823999998,-9.318145914000000,Ritual site - holy well, ,'St Michael's Well' (1923), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL048-063003-,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
45,CL00361,HOWE,CL005-005002-,CLARE,FORMOYLE WEST,4,R126881,517189.000000000000000,706913.000000000000000,53.106353329999997,-9.236748684000000,Ritual site - holy well,Not indicated,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL005-005002-,"In rough pasture at the SE foot of a low but steep-sided ridge, c. 60m to the W of the Caher River. Indicated and named ‘Tobar Bhrain’ on Robinson’s (1977) map. Not visible at ground level. Formoyle Chapel (CL005-005001-) lies c. 130m to the SSE."
46,CL00366,HOWE,CL005-009----,CLARE,DERRYNAVAHAGH,4,R126663,517698.000000000000000,706133.000000000000000,53.099423573999999,-9.228949095999999,Ritual site - holy well,Toberlonaun,'Toberlonaun' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL005-009----,"Situated near the foot of a NE-facing rocky slope, on the W side of the Caher Valley in hazel scrub and within a multiperiod field system (CL005-014001-). Named ‘Toberlonaun’ on the on the 1840 and 1916 eds. of the OS 6-inch map and ‘Tobar Lonáin"
47,CL00378,HOWE,CL005-014006-,CLARE,POULACAPPLE,4,R126663,519395.000000000000000,705151.000000000000000,53.090858871999998,-9.203369105000000,Ritual site - holy well,'St John's Well','St John's Well' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL005-014006-,"At the base of a S-facing cliff 350m W of the Rathborney River. In 1839, O’Donovan and Curry recorded its dedication to St John (Comber, 1997).A well-preserved holy well formed from a natural spring in a limestone channel (Wth 0.8m) enclosed by a subci"
48,CL00486,HOWE,CL005-093----,CLARE,GRAGAN EAST,4,R126744,521930.000000000000000,704243.000000000000000,53.083076638999998,-9.165311834000001,Ritual site - holy well,Tobergahard,'Tobergahard' (1916), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL005-093----,"Near the base of a steep NW-facing rock face under dense hazel scrub, just off the R480. Indicated and named 'Tobergahard' on both the first edition (1842) and later, Cassini edition (1916) of the OS 6-inch map. A small, natural spring emerging from the"
49,KK04243,HOWE,KK042-007----,KILKENNY,CLONMORE,14,R132899,648637.000000000000000,617361.000000000000000,52.305740798999999,-7.286810223000000,Ritual site - holy well, , , https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KK042-007----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
50,KK04311,HOWE,KK043-006----,KILKENNY,KILMACOW,14,R132890,656887.000000000000000,617257.000000000000000,52.304013787000002,-7.165866621000000,Ritual site - holy well, ,'Tubbereenan', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KK043-006----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded. To access available information for resear
... (file truncated)
